id|name|spotify_link
535KSdsDbNGj6w6eCBkRP5|7 Year Bitch|https://open.spotify.com/embed/artist/535KSdsDbNGj6w6eCBkRP5
3GTaO7e3uPaG0SJR7Hxy8L|Bratmobile|https://open.spotify.com/embed/artist/3GTaO7e3uPaG0SJR7Hxy8L
6pSNQ6SckE2rZ0G1YWMEhW|Some Velvet Sidewalk|https://open.spotify.com/embed/artist/6pSNQ6SckE2rZ0G1YWMEhW
4vI0xGbQl2cMnMiagUEBOj|Courtney Love|https://open.spotify.com/embed/artist/4vI0xGbQl2cMnMiagUEBOj
5WYp4rSdvV9DuiswVnxheS|Nation of Ulysses|https://open.spotify.com/embed/artist/5WYp4rSdvV9DuiswVnxheS
4YjpqCSDD7zwMQgPYJMqb0|Unwound|https://open.spotify.com/embed/artist/4YjpqCSDD7zwMQgPYJMqb0
03SVn7YqKOXJiFspILZiI7|Mecca Normal|https://open.spotify.com/embed/artist/03SVn7YqKOXJiFspILZiI7
0nMGtVCtOB828z1CYKDzGZ|Heavens To Betsy|https://open.spotify.com/embed/artist/0nMGtVCtOB828z1CYKDzGZ
3leAD1YcOv55y1JeKEnlEt|Steve Fisk|https://open.spotify.com/embed/artist/3leAD1YcOv55y1JeKEnlEt
0gvHPdYxlU94W7V5MSIlFe|Bikini Kill|https://open.spotify.com/embed/artist/0gvHPdYxlU94W7V5MSIlFe
1F7y9FXmQnSwBFmISPfdTA|Witchy Poo|https://open.spotify.com/embed/artist/1F7y9FXmQnSwBFmISPfdTA
6aVjo0xHSiuW5hkasoYSR3|Melvins|https://open.spotify.com/embed/artist/6aVjo0xHSiuW5hkasoYSR3
4AwmrmKD0KBNM4ysjsbIyH|Infamous Menagerie|https://open.spotify.com/embed/artist/4AwmrmKD0KBNM4ysjsbIyH
5ohiwnBBOk9opqVr85Yb0U|Kicking Giant|https://open.spotify.com/embed/artist/5ohiwnBBOk9opqVr85Yb0U
4tN1tEHtQ0LEFUaTOeLir1|Fitz of Depression|https://open.spotify.com/embed/artist/4tN1tEHtQ0LEFUaTOeLir1
3xx5PhUhJZ9ADhd7RlC00C|Jad Fair|https://open.spotify.com/embed/artist/3xx5PhUhJZ9ADhd7RlC00C
