id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
561UU4MvlsCenN1x7leYCh,Life's Too Short,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],5,1,False,0.833,0.805,0,-4.553999999999999,1,0.0347,0.076,0.0136,0.0731,0.9740000000000001,116.01299999999999,209960,4.0,2018,2018-04-10
5ytl6Ay8G7ucmujk9R3S0c,Getaway Car,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],6,1,False,0.782,0.619,8,-5.7589999999999995,1,0.0266,0.264,0.0,0.0607,0.898,110.00399999999999,229253,4.0,2018,2018-04-10
0zjqm0VWOQT9is5gT9CTib,Make You Stay,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],7,1,False,0.605,0.9209999999999999,9,-4.336,0,0.0407,0.0203,0.0,0.228,0.705,90.02,221174,4.0,2018,2018-04-10
5UMTzSiB8mMu9vuo2PZkhd,Miss DJ,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],8,1,False,0.679,0.8909999999999999,10,-3.531,1,0.0339,0.0953,0.0,0.155,0.965,102.992,229213,4.0,2018,2018-04-10
6Uz62Rd9XadpjT8Zebgwq2,She Got Me Bad,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],9,1,False,0.61,0.7440000000000001,10,-5.819,1,0.0506,0.41,0.0,0.142,0.672,170.00099999999995,196280,4.0,2018,2018-04-10
7IYXfiXsiMdhcboT6Vw7Qu,Breath of Your Life,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],10,1,False,0.705,0.769,1,-7.0829999999999975,1,0.0348,0.281,0.0,0.0997,0.795,96.00299999999999,234987,4.0,2018,2018-04-10
0dT5eHAqMNchKMw06dgyFW,Intuition,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],11,1,False,0.77,0.55,7,-6.515,1,0.034,0.536,0.0,0.149,0.6559999999999999,125.919,250693,4.0,2018,2018-04-10
3nvfZxZcdZ5rIy8bxAr5fX,Heartbreak Time,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],12,1,False,0.611,0.61,5,-7.851,0,0.0393,0.299,0.0,0.297,0.684,171.995,246400,4.0,2018,2018-04-10
2nWM35FPxkYAWHHv9hrczL,Something About You,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],13,1,False,0.8,0.552,10,-6.2079999999999975,1,0.0244,0.158,0.0,0.16699999999999998,0.34700000000000003,98.022,242907,4.0,2018,2018-04-10
1pxJE4N74aGkC6BbIUhq3P,Love in a Dangerous Time,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],14,1,False,0.593,0.95,8,-6.72,1,0.0403,0.183,0.000251,0.0615,0.7909999999999999,99.016,296008,4.0,2018,2018-04-10
5oLsi3F0C26MGnXJcnzQyB,Love The One You're With,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],1,1,False,0.61,0.883,0,-5.888999999999999,1,0.0749,0.24,0.0,0.248,0.6409999999999999,95.03399999999999,215093,4.0,2003,2003-12-01
7xGWDXdFKvsapcORfJuloO,Your Game,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],2,1,False,0.741,0.632,11,-7.837999999999999,0,0.0431,0.077,0.0,0.0334,0.593,92.98700000000001,250000,4.0,2003,2003-12-01
0AqhwhQv1xnqCH9wzlQ7PE,Stronger,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],3,1,False,0.645,0.513,0,-8.404,1,0.0391,0.29600000000000004,3.75e-06,0.109,0.6829999999999999,75.008,318720,4.0,2003,2003-12-01
4mZsyuthp695XQWwb2g3qe,Leave Right Now,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],4,1,False,0.6409999999999999,0.445,6,-8.674,1,0.0368,0.145,0.0,0.10800000000000001,0.38299999999999995,81.931,214733,4.0,2003,2003-12-01
5nvUqq0fvB0GN6mqzDc9Ey,Love Is A Matter Of Distance,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],5,1,False,0.5429999999999999,0.56,8,-6.982,1,0.024,0.51,0.0,0.0954,0.304,99.941,178027,4.0,2003,2003-12-01
4KepeWvq5KfZUevd0cQ70T,Dance The Night Away,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],6,1,False,0.77,0.757,11,-5.386,0,0.044000000000000004,0.17300000000000001,8.87e-06,0.0244,0.596,99.994,245573,4.0,2003,2003-12-01
3VXoePG7JjYl2ay8fzLhtG,Very Kind,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],7,1,False,0.77,0.28800000000000003,9,-10.32,0,0.0526,0.11199999999999999,0.0,0.16399999999999998,0.44,79.962,310013,4.0,2003,2003-12-01
