id|name|album|albums_ids|artists_ids|explicit|danceability|energy|key|mode|acousticness|instrumentalness|valence|release_date|spotify_link
0QCQ1Isa0YPVyIbs6JwpO1|Do It for Love|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.59|0.96|4|1|0.11|0.0|0.83|2018-04-10|https://open.spotify.com/embed/track/0QCQ1Isa0YPVyIbs6JwpO1
3kIBEFhsZOeeKGebxRraOb|Someday We'll Know|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.56|0.78|1|0|0.02|0.0|0.46|2018-04-10|https://open.spotify.com/embed/track/3kIBEFhsZOeeKGebxRraOb
5dNDRw6qjDcnbW3luRhElU|Forever for You|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.65|0.57|9|1|0.56|0.0|0.37|2018-04-10|https://open.spotify.com/embed/track/5dNDRw6qjDcnbW3luRhElU
561UU4MvlsCenN1x7leYCh|Life's Too Short|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.83|0.81|0|1|0.08|0.01|0.97|2018-04-10|https://open.spotify.com/embed/track/561UU4MvlsCenN1x7leYCh
5ytl6Ay8G7ucmujk9R3S0c|Getaway Car|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.78|0.62|8|1|0.26|0.0|0.9|2018-04-10|https://open.spotify.com/embed/track/5ytl6Ay8G7ucmujk9R3S0c
0zjqm0VWOQT9is5gT9CTib|Make You Stay|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.6|0.92|9|0|0.02|0.0|0.7|2018-04-10|https://open.spotify.com/embed/track/0zjqm0VWOQT9is5gT9CTib
5UMTzSiB8mMu9vuo2PZkhd|Miss DJ|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.68|0.89|10|1|0.1|0.0|0.96|2018-04-10|https://open.spotify.com/embed/track/5UMTzSiB8mMu9vuo2PZkhd
6Uz62Rd9XadpjT8Zebgwq2|She Got Me Bad|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.61|0.74|10|1|0.41|0.0|0.67|2018-04-10|https://open.spotify.com/embed/track/6Uz62Rd9XadpjT8Zebgwq2
7IYXfiXsiMdhcboT6Vw7Qu|Breath of Your Life|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.7|0.77|1|1|0.28|0.0|0.8|2018-04-10|https://open.spotify.com/embed/track/7IYXfiXsiMdhcboT6Vw7Qu
0dT5eHAqMNchKMw06dgyFW|Intuition|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.77|0.55|7|1|0.54|0.0|0.66|2018-04-10|https://open.spotify.com/embed/track/0dT5eHAqMNchKMw06dgyFW
3nvfZxZcdZ5rIy8bxAr5fX|Heartbreak Time|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.61|0.61|5|0|0.3|0.0|0.68|2018-04-10|https://open.spotify.com/embed/track/3nvfZxZcdZ5rIy8bxAr5fX
2nWM35FPxkYAWHHv9hrczL|Something About You|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.8|0.55|10|1|0.16|0.0|0.35|2018-04-10|https://open.spotify.com/embed/track/2nWM35FPxkYAWHHv9hrczL
1pxJE4N74aGkC6BbIUhq3P|Love in a Dangerous Time|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.59|0.95|8|1|0.18|0.0|0.79|2018-04-10|https://open.spotify.com/embed/track/1pxJE4N74aGkC6BbIUhq3P
